lr,model,seed,val/top1
1e-5,res50,s1,0.0350599996745586
1e-5,vitbs,s3,0.1719399988651275
1e-5,effb3,s3,0.0177599992603063
1e-3,effb3,s1,0.5339999794960022
1e-3,res50,s1,0.5187199711799622
1e-5,vitbs,s2,0.1686400026082992
1e-3,res50,s3,0.5231599807739258
1e-5,res50,s3,0.0350399985909462
1e-3,vitbs,s3,0.4319800138473511
1e-5,effb3,s2,0.0188200008124113
1e-3,effb3,s2,0.5209400057792664
1e-3,vitbs,s2,0.4305799901485443
1e-3,vitbs,s1,0.4268999993801117
1e-5,effb3,s1,0.0186999998986721
1e-5,vitbs,s1,0.1662999987602234
1e-3,effb3,s3,0.5325599908828735
1e-3,res50,s2,0.5255399942398071
1e-5,res50,s2,0.0356799997389316
